id,user_id,group_id,type,amount,category,description,recorded_by,date,created_at,ward_id
9b33ca93-73f6-4103-92a4-f0505014eaaa,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,expense,3000000,Quà tri ân những người nghỉ,Quà tri ân những người nghỉ,,2026-07-04,2026-07-06 05:27:34.501+00,00000000-0000-0000-0000-000000000000
30504594-d6e3-480c-b58c-2ec59f1f8ba8,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,expense,600000,Thuê người trang trí,Thuê người trang trí,,2026-07-03,2026-07-06 05:32:43.794+00,00000000-0000-0000-0000-000000000000
31232628-37e4-4a1b-a1bf-5a0077e09651,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,expense,327000,"Mua vật tư thêm như đinh , ốc vít,...","Mua vật tư thêm như đinh , ốc vít,...",,2026-07-03,2026-07-06 05:31:25.072+00,00000000-0000-0000-0000-000000000000
8ce7789b-54cb-4d9c-bd13-c8a7c041449b,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,24000,Kinh phí tổ chức tang lễ,Thu Kinh phí tổ chức tang lễ - Hộ NGUYỄN DƯƠNG TÌNH [QUY_e2fd4286-b340-4e28-88a0-b77a40996175],Hệ thống tự động,2026-08-07,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
8a4f2f0d-86ef-4ac2-a71c-4cbdc0ac5886,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,50000,Kinh phí chi hoạt động văn hóa - an sinh xã hội,Thu Kinh phí chi hoạt động văn hóa - an sinh xã hội - Hộ NGUYỄN DƯƠNG TÌNH [QUY_f082a1b6-8fbf-439b-b126-d2c7b881fea5],Hệ thống tự động,2026-08-07,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
f2247eb5-2c08-45ef-a5c6-5ab00cd7ee6f,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,50000,Quỹ khuyến học,Thu Quỹ khuyến học - Hộ NGUYỄN DƯƠNG TÌNH [QUY_1abae598-4a1c-4b94-b486-b6907be6873a],Hệ thống tự động,2026-08-07,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
d58ac458-4abe-4576-84fb-a25a1e81e58d,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,50000,"Kinh phí chi hoạt động chăm sóc thiếu niên, nhi đồng.","Thu Kinh phí chi hoạt động chăm sóc thiếu niên, nhi đồng. - Hộ NGUYỄN DƯƠNG TÌNH [QUY_ede71395-e5f7-4a90-b00d-6940863fddbb]",Hệ thống tự động,2026-08-07,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
b2a01337-283d-44fe-b2d0-dec6e48ef785,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,20000,Kinh phí cho điện chiếu sáng của 7 nhà văn hóa,Thu Kinh phí cho điện chiếu sáng của 7 nhà văn hóa - Hộ NGUYỄN HUY HANH [QUY_c6b4925c-e13e-4201-b316-4a62c8f45602],Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
c6f8924c-5b36-4208-8d21-45794c09c97e,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,6000,"Kinh phí bảo vệ, vệ sinh Nhà văn hóa","Thu Kinh phí bảo vệ, vệ sinh Nhà văn hóa - Hộ NGUYỄN HUY HANH [QUY_39320022-4302-4e2a-aed4-2dd836a8dffa]",Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
05c4b278-9129-4faf-9cbb-8dd1a03f8297,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,2200,Internet nhà văn hóa TDP,Thu Internet nhà văn hóa TDP - Hộ NGUYỄN HUY HANH [QUY_5f9e26f5-fd12-41a2-b710-8ebf5992d413],Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
245a5bf2-f4ac-4b8b-b6f1-d6f69f54681b,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,5000,Kinh phí chè nước cho các hội họp TDP,Thu Kinh phí chè nước cho các hội họp TDP - Hộ NGUYỄN HUY HANH [QUY_7560ae0e-9b22-422f-9a5a-b88cb593d716],Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
2434921d-fda1-4998-8a88-bce9a49333d8,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,24000,Kinh phí tổ chức tang lễ,Thu Kinh phí tổ chức tang lễ - Hộ NGUYỄN HUY HANH [QUY_9194fa52-368e-4dbb-a41a-bb53314380b4],Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.077+00,00000000-0000-0000-0000-000000000000
871b38e3-5718-448a-a5e1-94b4db96b3f9,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,50000,Kinh phí chi hoạt động văn hóa - an sinh xã hội,Thu Kinh phí chi hoạt động văn hóa - an sinh xã hội - Hộ NGUYỄN HUY HANH [QUY_2cc5e224-1796-4413-a852-be48e2ab1675],Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.078+00,00000000-0000-0000-0000-000000000000
abc0df58-fc7e-4ef4-b93d-2b1f08ccb1a3,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,50000,Quỹ khuyến học,Thu Quỹ khuyến học - Hộ NGUYỄN HUY HANH [QUY_281658a0-dfef-439a-bdf8-2fae127d124a],Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.078+00,00000000-0000-0000-0000-000000000000
a553816b-134f-4433-bfb6-ba95c5c2d36c,b3c31146-3399-4add-b600-7f39f34a1bac,NAM_SAM_SON_01,income,50000,"Kinh phí chi hoạt động chăm sóc thiếu niên, nhi đồng.","Thu Kinh phí chi hoạt động chăm sóc thiếu niên, nhi đồng. - Hộ NGUYỄN HUY HANH [QUY_2801641a-a6f1-4bf4-871e-56aaffdae350]",Hệ thống tự động,2026-07-26,2026-09-01 10:49:47.078+00,00000000-0000-0000-0000-000000000000
